1,Moroccan,medium,South Jamaica,8:35,22:12,1,false
2,Arabian,expensive,Georgetown,8:16,22:38,1,false
3,Sushi,cheap,Dutch Kills,8:02,23:27,4,true
4,Szechwan,medium,Manhattan Terrace,8:21,22:20,5,true
5,Polish,medium,Herald Square,8:27,23:50,5,false
6,Southwestern,medium,Jamaica,8:47,23:39,2,true
7,Spanish,medium,Richmond Valley,8:54,23:08,1,true
8,Portuguese,medium,Malba,8:33,23:48,2,true
9,Portuguese,cheap,Tompkins Park North,8:41,23:54,3,true
10,Turkish,expensive,Union Square,8:34,22:54,5,true
11,Sushi,cheap,Tompkinsville,8:23,22:35,4,false
12,Portuguese,cheap,Fox Hills,8:53,22:52,3,true
13,Argentinian,cheap,Rugby,8:08,23:20,1,false
14,Southwestern,medium,Bath Beach,8:34,22:37,5,true
15,Portuguese,expensive,East Elmhurst,8:10,23:55,2,false
16,Sri Lankan,medium,Upper West Side,8:10,23:11,4,false
17,Russian,expensive,Kew Gardens,8:28,23:37,1,true
18,Vegetarian,cheap,Kensington,8:05,23:49,2,true
19,Caribbean,cheap,Jamaica Center,8:40,23:38,3,false
20,Salad,cheap,Maspeth,8:03,23:12,1,true
21,Puerto Rican,medium,Auburndale,8:15,23:53,2,true
22,Puerto Rican,cheap,Long Island City,8:14,22:06,5,true
23,Vietnamese,medium,Sandy Ground,8:58,23:36,1,false
24,Austrian,medium,Oakwood,8:02,23:34,4,false
25,Caribbean,cheap,South Village,8:29,22:11,2,true
26,Austrian,medium,Oakwood,8:04,22:23,2,true
27,Persian,expensive,Carroll Gardens,8:47,23:57,4,true
28,Caribbean,cheap,North Side,8:04,23:34,5,false
29,Australian,expensive,Morris Park,8:28,23:17,1,false
30,Polish,expensive,Sutton Place,8:33,22:57,2,false
31,Uzbek,medium,Mount Hope,8:30,23:43,1,false
32,Senegalese,expensive,Kew Gardens,8:01,23:02,1,true
33,Pizza,expensive,Blissville,8:37,22:50,2,false
34,Vegan,medium,Sunnyside,8:23,22:55,5,false
35,Polish,medium,Spring Creek,8:45,22:32,3,false
36,Arabian,medium,Tudor City,8:53,23:16,4,false
37,Polish,medium,Carnegie Hill,8:53,22:35,5,false
38,Vegetarian,expensive,Boerum Hill,8:14,23:55,4,true
39,Nepalese,expensive,Midtown,8:57,23:55,3,false
40,Australian,expensive,Fort Greene,8:25,23:07,1,false
41,Ribs,medium,Grant City,8:00,23:04,1,false
42,Polish,medium,Bronx Park South,8:52,22:36,2,false
43,Vegan,cheap,Hammels,8:14,22:03,2,false
44,Vegan,expensive,Sunnyside Gardens,8:07,22:08,3,true
45,Subs,expensive,North Riverdale,8:23,23:46,5,true
46,Russian,medium,Parkchester,8:26,23:04,1,false
47,Salad,expensive,Fort Hamilton,8:14,22:55,2,false
48,Fusion,medium,Glen Oaks,8:23,23:03,4,false
49,Fusion,medium,Fulton Ferry,8:10,22:08,2,false
50,Russian,cheap,Breezy Point,8:59,23:05,1,true
51,Sri Lankan,medium,Mapleton,8:42,22:05,4,true
52,Szechwan,expensive,Sunnyside,8:38,23:05,5,false
53,Mongolian,medium,Kingsbridge,8:58,22:50,4,true
54,Ribs,medium,Grymes Hill,8:25,22:26,3,false
55,Pakistani,expensive,Ocean Parkway,8:12,23:23,4,true
56,Polish,medium,Jamaica Estates,8:33,23:55,4,false
57,Szechwan,medium,Fresh Meadows,8:14,23:19,5,false
58,Ribs,medium,Castleton Corners,8:41,22:18,5,false
59,Steakhouses,expensive,Bellaire,8:18,22:36,5,false
60,Vegetarian,cheap,Borough Park,8:37,23:12,5,false
61,Sushi,expensive,City Island,8:14,23:29,5,true
62,Cantonese,expensive,Morrisania,8:47,23:16,2,true
63,Ribs,cheap,Sunnyside Gardens,8:59,23:01,1,true
64,Vegan,expensive,Whitestone,8:39,23:04,3,false
65,Fusion,medium,Lincoln Square,8:03,23:23,2,true
66,Szechwan,cheap,Graniteville,8:03,23:01,5,true
67,Sushi,expensive,Richmond Valley,8:05,23:44,4,true
68,Argentinian,cheap,Bloomfield,8:07,23:57,3,false
69,Fusion,medium,Bellerose,8:12,22:01,2,false
70,Australian,cheap,Murray Hill,8:16,22:35,5,false
71,Pizza,cheap,Soundview,8:54,22:53,3,true
72,Tex-Mex  Thai,expensive,Jamaica,8:28,23:48,5,false
73,Sushi,cheap,Belle Harbor,8:03,23:44,3,false
74,Portuguese,cheap,Heartland Village,8:37,22:41,4,false
75,Cantonese,medium,Tompkinsville,8:16,22:24,5,false
76,Ukrainian,medium,Whitestone,8:35,22:00,1,false
77,Australian,expensive,Midtown South,8:40,22:07,5,false
78,Pancakes,expensive,Chelsea,8:32,22:17,5,true
79,Persian,medium,Jamaica,8:11,22:43,5,true
80,Turkish,expensive,East Flatbush,8:17,23:50,5,false
81,Russian,expensive,Arrochar,8:31,22:12,5,false
82,Ukrainian,expensive,Claremont Village,8:16,23:05,2,true
83,Pasta,cheap,Fort Greene,8:16,22:11,3,false
84,Pizza,expensive,Seaside,8:35,22:48,3,false
85,Pizza,medium,Claremont Village,8:50,23:07,2,false
86,Tex-Mex  Thai,cheap,New Hyde Park,8:36,22:32,1,false
87,Pasta,expensive,Woodhaven,8:47,22:18,1,false
88,Polish,medium,Somerville,8:44,22:20,5,false
89,Austrian,cheap,Marine Park,8:25,23:36,1,true
90,Sushi,medium,Bedford Park,8:24,22:20,1,true
91,Cantonese,cheap,Queensboro Hill,8:42,23:29,2,false
92,Moroccan,medium,Oakland Gardens,8:54,23:06,1,true
93,Vegetarian,cheap,Fordham,8:48,22:22,5,false
94,Pakistani,expensive,Edgewater Park,8:59,23:38,1,true
95,Nepalese,cheap,Sandy Ground,8:22,23:16,3,true
96,Arabian,medium,Bloomfield,8:07,23:22,5,false
97,Tex-Mex  Thai,expensive,Greenpoint,8:08,23:46,1,false
98,Fusion,expensive,Prospect Park South,8:50,22:21,3,true
99,Turkish,cheap,Longwood,8:21,22:38,4,true
100,Vietnamese,medium,West Farms,8:49,23:23,4,true
101,Spanish,expensive,Port Morris,8:29,23:42,1,true
102,Caribbean,cheap,Randall Manor,8:40,23:53,2,true
103,Vegetarian,cheap,Richmond Hill,8:00,22:49,5,true
104,Russian,expensive,Old Place,8:34,22:30,5,true
105,Salad,cheap,Fox Hills,8:42,23:03,4,true
106,Argentinian,expensive,Co-op City,8:55,22:18,2,false
107,Tex-Mex  Thai,cheap,Morrisania,8:06,22:05,3,false
108,Mongolian,expensive,New Brighton,8:48,22:29,3,true
109,Sushi,expensive,Mill Island,8:42,22:22,2,false
110,Polish,medium,Belmont,8:18,23:29,5,true
111,Vegan,cheap,Neponsit,8:00,22:03,3,false
112,Puerto Rican,medium,Kingsbridge Heights,8:53,23:33,1,false
113,Uzbek,expensive,Heartland Village,8:52,23:03,2,false
114,Southwestern,medium,Washington Heights,8:31,22:04,3,false
115,Sushi,cheap,Morningside Heights,8:44,23:32,4,true
116,Australian,cheap,Woodlawn,8:50,23:38,2,false
117,Vegan,medium,Briarwood,8:52,22:35,4,false
118,Ribs,cheap,Plum Beach,8:37,23:11,2,false
119,Turkish,cheap,Dongan Hills,8:49,23:51,4,true
120,Steakhouses,expensive,Cypress Hills,8:32,23:46,5,false
121,Mongolian,medium,Concourse,8:26,22:41,5,true
122,Nepalese,medium,Middle Village,8:52,23:07,5,true
123,Moroccan,cheap,Paerdegat Basin,8:23,23:00,3,false
124,Moroccan,cheap,Canarsie,8:06,22:16,3,true
125,Moroccan,cheap,Edgemere,8:02,22:16,1,false
126,Cantonese,cheap,Pelham Gardens,8:42,23:52,3,true
127,Sri Lankan,expensive,Hunts Point,8:49,23:17,2,false
128,Uzbek,medium,Bronx River,8:35,23:08,4,false
129,Australian,cheap,University Heights,8:49,23:16,4,true
130,Pancakes,expensive,Rosedale,8:36,22:31,5,false
131,Steakhouses,medium,Boerum Hill,8:59,23:11,2,false
132,Vietnamese,medium,Rosebank,8:20,23:41,2,false
133,Salad,cheap,Midtown,8:00,22:48,1,false
134,Austrian,cheap,North Side,8:57,22:09,1,true
135,Pasta,expensive,Hunters Point,8:15,22:54,4,true
136,Caribbean,cheap,Georgetown,8:43,22:42,3,true
137,Salad,medium,Bath Beach,8:05,22:42,5,false
138,Ribs,medium,Arrochar,8:03,23:33,5,true
139,Uzbek,cheap,Vinegar Hill,8:11,23:28,3,false
140,Vegan,medium,West Village,8:10,22:39,5,false
141,Sushi,cheap,New Lots,8:07,22:00,3,true
142,Senegalese,medium,Lighthouse Hill,8:42,22:55,2,false
143,Spanish,medium,Parkchester,8:25,23:07,5,false
144,Senegalese,cheap,Sandy Ground,8:18,23:57,5,true
145,Salad,expensive,Belle Harbor,8:14,22:43,1,false
146,Puerto Rican,medium,St. George,8:41,23:48,3,false
147,Spanish,medium,Woodlawn,8:03,22:44,5,false
148,Vegan,cheap,Bulls Head,8:48,23:08,5,false
149,Ukrainian,expensive,Gravesend,8:45,22:54,5,true
150,Caribbean,medium,Manhattan Terrace,8:32,22:10,2,true
151,Arabian,expensive,Concourse,8:11,23:19,4,true
152,Vietnamese,cheap,Pleasant Plains,8:45,23:33,1,false
153,Vietnamese,medium,Yorkville,8:37,22:53,1,false
154,Sri Lankan,cheap,Boerum Hill,8:28,23:25,2,false
155,Argentinian,cheap,Ditmas Park,8:08,23:27,4,true
156,Ribs,expensive,Brighton Beach,8:06,23:07,4,true
157,Russian,cheap,Williamsbridge,8:54,22:20,3,false
